Contexte Gauche	Mot Cible	Contexte Droit
Kavre sites respectively) were almost similar during the 	lockdown	
region which then decreased during the 	lockdown	 period. However, a
comparison of pre-lockdown and 	lockdown	 period PM[2.5] concentrations
PM[2.5] concentrations during the 	lockdown	 period reaching a maximum
contrary to findings from other studies on the impacts of 	lockdown	 on
Fig. 6. (Top Panel) Hourly variation in PM2.5 during the pre-	lockdown	
and 	lockdown	 period at Kathmandu (Ratnapark) and Kavre (Dhulikhel),
Fig. 6. (Top Panel) Hourly variation in PM[2.5] during the pre-	lockdown	
and 	lockdown	 period at Kathmandu (Ratnapark) and Kavre (Dhulikhel),
might have masked the effects of 	lockdown	 prompted emission reduction).
over SA during the defined 	lockdown	 period (25 Marchâ30 April 2020)
were 9.5%, 2.0%, and 2.6% higher than the pre-	lockdown	 period (01
previous years pre lockdown and 	lockdown	 period, that can be attributed
to the overall reduction due to 	lockdown	. Country-level analysis
indicates that during the 	lockdown	 a decline in AOD was observed for
during the lockdown compared to the pre-	lockdown	 phase. Overall, this
of the level seen during 	lockdown	 could lead to a reduction of fine
28. Kanitkar, T. (2020). The COVID-19 	lockdown	 in India: Impacts on the
on the impact of COVID-19-induced 	lockdown	 on aerosols over India.
	lockdown	 in Indian cities. Sustain. Cities Soc. 62,
pollution levels during COVID-19 	lockdown	 over India. Sci. Rep. 11,
44. Mahato, S., Pal, S., Ghosh, K.G. (2020). Effect of 	lockdown	 amid
Cholakian, A. (2020). Impact of 	lockdown	 measures to combat
(2020). COVID-19 	lockdown	s improve air quality in the South-East
the air quality during the partial 	lockdown	 in SÃ£o Paulo state,
loading over India amid COVID-19 	lockdown	. Aerosol Air Qual. Res.
(2020). An assessment of the impact of a nation-wide 	lockdown	 on
60. Ranjan, A.K., Patra, A.K., Gorai, A.K. (2020). Effect of 	lockdown	
environmental pollutants and air quality during the 	lockdown	 in the
COVID-19 	lockdown	s cause global air pollution declines with
